"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Franklin County, Florida","12,452","12,468","12,183","12,492","12,594"
" Gadsden County, Florida","43,819","43,411","43,599","43,393","43,833"
" Gilchrist County, Florida","17,858","17,882","18,316","19,002","19,587"
" Glades County, Florida","12,128","12,078","12,266","12,463","12,786"
" Gulf County, Florida","14,199","14,259","14,462","15,299","15,693"
" Hamilton County, Florida","14,003","13,729","13,072","13,194","13,471"
" Hardee County, Florida","25,330","25,339","25,322","25,651","25,760"
" Hendry County, Florida","39,621","39,723","40,215","41,391","43,333"
" Hernando County, Florida","194,508","195,624","200,693","206,935","212,807"
" Highlands County, Florida","101,239","101,349","103,279","105,649","107,614"
" Hillsborough County, Florida","1,459,779","1,466,255","1,484,607","1,513,473","1,535,564"
" Holmes County, Florida","19,659","19,578","19,309","19,653","19,944"
" Indian River County, Florida","159,791","160,446","163,869","167,267","169,795"
" Jackson County, Florida","47,314","47,096","47,119","48,255","48,622"
" Jefferson County, Florida","14,513","14,399","14,494","15,069","15,450"
" Lafayette County, Florida","8,225","8,218","7,952","7,777","8,078"
" Lake County, Florida","383,962","386,216","396,352","410,090","424,462"
" Lee County, Florida","760,814","765,547","790,888","822,391","834,573"
" Leon County, Florida","292,206","293,955","296,007","297,282","296,913"
" Levy County, Florida","42,909","43,059","44,156","45,253","46,545"
" Liberty County, Florida","7,978","7,804","7,290","7,613","7,706"
" Madison County, Florida","17,972","17,869","18,099","18,230","18,519"
" Manatee County, Florida","399,714","401,619","413,716","429,169","441,095"
" Marion County, Florida","375,904","377,472","385,135","396,437","409,959"
" Martin County, Florida","158,434","158,671","160,197","161,987","163,315"
" Miami-Dade County, Florida","2,701,776","2,695,685","2,669,748","2,673,056","2,686,867"
" Monroe County, Florida","82,872","82,847","82,220","81,618","80,614"
" Nassau County, Florida","90,353","91,031","94,399","97,826","101,501"
" Okaloosa County, Florida","211,666","212,085","213,641","216,464","218,464"
" Okeechobee County, Florida","39,642","39,652","40,031","40,373","41,427"
" Orange County, Florida","1,429,908","1,431,679","1,427,761","1,451,761","1,471,416"
" Osceola County, Florida","388,664","391,141","403,990","422,543","437,784"
" Palm Beach County, Florida","1,492,199","1,494,282","1,503,435","1,519,867","1,533,801"
" Pasco County, Florida","561,893","566,156","585,191","609,141","632,996"
" Pinellas County, Florida","959,111","959,793","959,583","961,792","961,596"
" Polk County, Florida","725,048","730,158","755,598","788,382","818,330"
" Putnam County, Florida","73,319","73,372","74,095","74,736","75,955"
" St. Johns County, Florida","273,422","277,099","293,251","307,072","320,110"
" St. Lucie County, Florida","329,226","331,441","344,246","358,886","373,586"
" Santa Rosa County, Florida","187,999","189,011","193,750","198,199","203,162"
" Sarasota County, Florida","434,010","436,237","448,636","462,552","469,013"
" Seminole County, Florida","470,857","471,455","470,857","478,623","484,271"
" Sumter County, Florida","129,745","130,290","134,870","144,767","151,565"
" Suwannee County, Florida","43,472","43,524","44,125","45,405","46,130"
" Taylor County, Florida","21,799","21,743","20,807","21,313","21,582"
" Union County, Florida","16,143","15,425","15,850","15,514","15,532"
" Volusia County, Florida","553,537","555,776","566,368","579,665","590,357"
" Wakulla County, Florida","33,763","33,893","34,270","35,169","36,449"
" Walton County, Florida","75,307","75,941","80,021","83,404","86,354"
" Washington County, Florida","25,323","25,320","24,867","25,405","25,602"
" Appling County, Georgia","18,445","18,376","18,423","18,437","18,457"
" Atkinson County, Georgia","8,286","8,308","8,348","8,160","8,293"
" Bacon County, Georgia","11,142","11,112","11,068","11,173","11,124"
" Baker County, Georgia","2,875","2,852","2,824","2,792","2,743"
" Baldwin County, Georgia","43,789","43,790","43,695","43,633","43,396"
" Banks County, Georgia","18,035","18,081","18,538","19,342","19,789"
" Barrow County, Georgia","83,504","83,981","86,727","89,245","92,792"
" Bartow County, Georgia","108,897","109,314","110,936","112,815","115,041"
" Ben Hill County, Georgia","17,194","17,168","17,128","17,057","17,128"
" Berrien County, Georgia","18,159","18,144","18,117","18,215","18,570"
" Bibb County, Georgia","157,347","157,035","155,980","156,126","156,512"
" Bleckley County, Georgia","12,585","12,523","12,270","12,279","12,465"
" Brantley County, Georgia","18,021","18,044","18,119","18,210","18,401"
" Brooks County, Georgia","16,301","16,272","16,276","16,284","16,245"
" Bryan County, Georgia","44,741","45,043","46,974","48,218","49,739"
" Bulloch County, Georgia","79,646","79,922","80,671","83,038","84,327"
" Burke County, Georgia","24,594","24,635","24,362","24,434","24,438"
" Butts County, Georgia","25,436","25,549","26,164","26,745","26,887"
" Calhoun County, Georgia","5,575","5,574","5,541","5,474","5,457"
" Camden County, Georgia","54,772","54,931","55,786","56,971","58,118"
