"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Martin County, North Carolina","22,032","21,952","21,741","21,478","21,447"
" Mecklenburg County, North Carolina","1,115,534","1,117,423","1,126,283","1,144,075","1,163,701"
" Mitchell County, North Carolina","14,899","14,900","14,975","15,048","14,999"
" Montgomery County, North Carolina","25,760","25,731","25,862","25,841","26,085"
" Moore County, North Carolina","99,745","100,296","103,044","105,491","106,898"
" Nash County, North Carolina","94,967","95,157","95,204","95,820","96,551"
" New Hanover County, North Carolina","225,707","226,326","230,019","235,784","238,852"
" Northampton County, North Carolina","17,469","17,433","17,116","16,827","16,715"
" Onslow County, North Carolina","204,576","207,757","206,018","209,031","213,676"
" Orange County, North Carolina","148,717","143,602","148,693","150,253","150,626"
" Pamlico County, North Carolina","12,270","12,300","12,342","12,234","12,423"
" Pasquotank County, North Carolina","40,567","40,577","40,807","41,168","41,444"
" Pender County, North Carolina","60,199","60,639","63,020","65,698","68,521"
" Perquimans County, North Carolina","13,008","13,018","13,117","13,221","13,377"
" Person County, North Carolina","39,088","39,187","39,148","39,343","39,737"
" Pitt County, North Carolina","170,242","170,390","172,235","173,610","175,119"
" Polk County, North Carolina","19,335","19,390","19,714","20,012","20,060"
" Randolph County, North Carolina","144,147","144,425","145,154","146,196","147,458"
" Richmond County, North Carolina","42,948","42,914","42,805","42,573","42,324"
" Robeson County, North Carolina","116,514","116,309","116,142","116,466","117,365"
" Rockingham County, North Carolina","91,104","91,195","91,211","91,966","92,518"
" Rowan County, North Carolina","146,884","147,167","147,937","149,673","151,661"
" Rutherford County, North Carolina","64,446","64,486","64,616","64,945","65,507"
" Sampson County, North Carolina","59,042","59,085","59,022","59,027","59,601"
" Scotland County, North Carolina","34,177","34,290","34,285","34,350","34,376"
" Stanly County, North Carolina","62,505","62,642","63,100","64,231","65,699"
" Stokes County, North Carolina","44,524","44,572","44,625","45,136","45,532"
" Surry County, North Carolina","71,367","71,373","71,257","71,482","71,462"
" Swain County, North Carolina","14,117","14,103","14,128","13,936","13,916"
" Transylvania County, North Carolina","32,984","33,048","33,272","33,373","33,549"
" Tyrrell County, North Carolina","3,249","3,241","3,379","3,473","3,461"
" Union County, North Carolina","238,234","239,470","244,259","249,172","256,452"
" Vance County, North Carolina","42,569","42,540","42,101","42,154","42,301"
" Wake County, North Carolina","1,129,352","1,130,483","1,152,301","1,170,778","1,190,275"
" Warren County, North Carolina","18,639","18,596","18,798","18,677","18,836"
" Washington County, North Carolina","11,004","10,980","10,883","10,776","10,713"
" Watauga County, North Carolina","54,077","54,122","54,968","55,013","54,748"
" Wayne County, North Carolina","117,321","117,221","116,857","117,449","118,686"
" Wilkes County, North Carolina","65,973","65,916","65,826","65,791","66,013"
" Wilson County, North Carolina","78,789","78,804","78,241","78,306","78,970"
" Yadkin County, North Carolina","37,216","37,254","37,276","37,507","37,774"
" Yancey County, North Carolina","18,474","18,496","18,764","18,768","18,938"
" Adams County, North Dakota","2,208","2,195","2,169","2,133","2,163"
" Barnes County, North Dakota","10,851","10,851","10,815","10,761","10,726"
" Benson County, North Dakota","5,954","5,935","5,773","5,772","5,745"
" Billings County, North Dakota","946","933","963","1,025","1,034"
" Bottineau County, North Dakota","6,383","6,388","6,448","6,384","6,349"
" Bowman County, North Dakota","2,992","2,980","2,900","2,899","2,867"
" Burke County, North Dakota","2,197","2,194","2,154","2,132","2,134"
" Burleigh County, North Dakota","98,464","98,601","98,965","99,396","100,012"
" Cass County, North Dakota","184,517","184,876","189,377","192,713","196,362"
" Cavalier County, North Dakota","3,716","3,704","3,680","3,608","3,596"
" Dickey County, North Dakota","4,997","4,969","4,901","4,928","4,900"
" Divide County, North Dakota","2,195","2,205","2,182","2,169","2,135"
" Dunn County, North Dakota","4,094","4,098","4,018","3,994","4,019"
" Eddy County, North Dakota","2,342","2,324","2,324","2,307","2,263"
" Emmons County, North Dakota","3,298","3,286","3,257","3,254","3,224"
" Foster County, North Dakota","3,395","3,387","3,364","3,380","3,309"
" Golden Valley County, North Dakota","1,730","1,721","1,755","1,746","1,743"
" Grand Forks County, North Dakota","73,181","73,141","72,586","72,421","72,708"
" Grant County, North Dakota","2,299","2,286","2,303","2,238","2,215"
" Griggs County, North Dakota","2,300","2,291","2,281","2,249","2,248"
" Hettinger County, North Dakota","2,483","2,467","2,425","2,411","2,415"
" Kidder County, North Dakota","2,389","2,382","2,354","2,381","2,342"
" LaMoure County, North Dakota","4,091","4,101","4,079","4,076","4,096"
" Logan County, North Dakota","1,875","1,885","1,863","1,838","1,869"
" McHenry County, North Dakota","5,352","5,332","5,238","5,195","5,131"
" McIntosh County, North Dakota","2,535","2,517","2,517","2,495","2,488"
" McKenzie County, North Dakota","14,708","14,776","13,858","13,889","14,252"
" McLean County, North Dakota","9,780","9,766","9,823","9,858","9,832"
" Mercer County, North Dakota","8,353","8,347","8,339","8,327","8,309"
" Morton County, North Dakota","33,287","33,315","33,565","33,705","33,895"
" Mountrail County, North Dakota","9,794","9,788","9,562","9,241","9,383"
" Nelson County, North Dakota","3,014","2,994","3,049","2,999","2,991"
" Oliver County, North Dakota","1,876","1,869","1,876","1,862","1,879"
" Pembina County, North Dakota","6,847","6,838","6,773","6,745","6,661"
" Pierce County, North Dakota","3,997","3,982","3,944","3,931","3,902"
" Ramsey County, North Dakota","11,602","11,572","11,611","11,516","11,463"
" Ransom County, North Dakota","5,700","5,692","5,682","5,647","5,603"
" Renville County, North Dakota","2,283","2,274","2,265","2,250","2,279"
" Richland County, North Dakota","16,533","16,534","16,557","16,574","16,558"
" Rolette County, North Dakota","12,190","12,193","12,067","11,867","11,728"
" Sargent County, North Dakota","3,851","3,828","3,829","3,804","3,776"
" Sheridan County, North Dakota","1,265","1,259","1,263","1,286","1,266"
" Sioux County, North Dakota","3,896","3,880","3,747","3,686","3,643"
" Slope County, North Dakota","708","703","696","682","674"
" Stark County, North Dakota","33,648","33,832","33,029","32,718","33,001"
" Steele County, North Dakota","1,795","1,794","1,806","1,793","1,782"
" Stutsman County, North Dakota","21,587","21,540","21,579","21,476","21,392"
" Towner County, North Dakota","2,163","2,147","2,128","2,060","2,030"
" Traill County, North Dakota","7,998","7,987","7,987","7,955","7,908"
" Walsh County, North Dakota","10,562","10,529","10,490","10,460","10,305"
" Ward County, North Dakota","69,926","69,921","69,364","68,788","68,332"
" Wells County, North Dakota","3,987","3,972","3,903","3,922","3,876"
" Williams County, North Dakota","40,945","41,182","38,499","37,966","39,113"
" Adams County, Ohio","27,471","27,440","27,574","27,459","27,521"
" Allen County, Ohio","102,211","102,125","101,784","101,097","100,838"
" Ashland County, Ohio","52,437","52,470","52,183","52,024","52,190"
" Ashtabula County, Ohio","97,567","97,495","97,439","96,960","96,845"
" Athens County, Ohio","62,437","62,393","59,096","60,881","62,706"
" Auglaize County, Ohio","46,427","46,472","46,255","45,946","46,050"
" Belmont County, Ohio","66,497","66,292","65,899","65,495","64,918"
" Brown County, Ohio","43,673","43,673","43,696","43,700","43,777"
" Butler County, Ohio","390,352","390,878","387,619","389,728","393,043"
" Carroll County, Ohio","26,716","26,702","26,700","26,686","26,758"
" Champaign County, Ohio","38,712","38,743","38,794","38,743","38,845"
" Clark County, Ohio","135,971","135,887","135,608","134,732","134,610"
" Clermont County, Ohio","208,595","208,750","209,893","210,679","211,972"
" Clinton County, Ohio","42,022","42,028","42,115","41,890","41,938"
" Columbiana County, Ohio","101,879","101,642","101,352","100,569","100,182"
" Coshocton County, Ohio","36,606","36,584","36,658","36,615","36,869"
" Crawford County, Ohio","42,016","42,013","41,782","41,509","41,529"
" Cuyahoga County, Ohio","1,264,775","1,262,573","1,247,496","1,236,994","1,233,088"
" Darke County, Ohio","51,873","51,893","51,642","51,526","51,415"
" Defiance County, Ohio","38,279","38,262","38,170","38,128","38,315"
" Delaware County, Ohio","214,135","215,166","221,282","226,526","231,636"
" Erie County, Ohio","75,619","75,481","74,886","74,514","74,035"
" Fairfield County, Ohio","158,908","159,448","161,209","162,956","165,360"
" Fayette County, Ohio","28,948","28,975","28,934","28,832","28,817"
" Franklin County, Ohio","1,323,810","1,324,441","1,317,346","1,321,730","1,326,063"
" Fulton County, Ohio","42,713","42,646","42,499","42,158","42,007"
" Gallia County, Ohio","29,216","29,233","29,224","29,030","28,986"
" Geauga County, Ohio","95,433","95,387","95,708","95,491","95,407"
" Greene County, Ohio","167,969","168,131","168,236","169,027","169,691"
" Guernsey County, Ohio","38,442","38,423","38,287","38,060","38,089"
" Hamilton County, Ohio","830,628","830,377","827,430","824,721","827,058"
" Hancock County, Ohio","74,920","74,928","74,764","74,774","74,704"
" Hardin County, Ohio","30,690","30,727","30,448","30,391","30,368"
" Harrison County, Ohio","14,485","14,491","14,458","14,351","14,159"
" Henry County, Ohio","27,663","27,668","27,560","27,526","27,520"
" Highland County, Ohio","43,313","43,359","43,444","43,426","43,614"
" Hocking County, Ohio","28,053","28,040","28,101","27,818","27,540"
" Holmes County, Ohio","44,214","44,227","44,349","44,375","44,386"
" Huron County, Ohio","58,571","58,495","58,412","58,219","58,199"
" Jackson County, Ohio","32,646","32,662","32,539","32,611","32,606"
" Jefferson County, Ohio","65,248","65,178","65,085","64,273","64,026"
" Knox County, Ohio","62,721","62,803","62,543","63,196","63,320"
" Lake County, Ohio","232,521","232,516","232,222","231,736","231,640"
" Lawrence County, Ohio","58,232","58,137","57,408","56,572","56,118"
" Licking County, Ohio","178,513","178,784","180,021","181,765","183,201"
" Logan County, Ohio","46,153","46,116","46,158","46,062","46,057"
" Lorain County, Ohio","312,956","313,498","314,216","316,031","317,910"
" Lucas County, Ohio","431,281","430,859","429,482","426,719","425,484"
" Madison County, Ohio","43,843","43,849","44,428","43,581","44,602"
" Mahoning County, Ohio","228,612","228,009","226,529","225,922","225,596"
" Marion County, Ohio","65,353","65,388","65,310","64,609","64,851"
" Medina County, Ohio","182,475","182,646","183,394","183,489","184,042"
" Meigs County, Ohio","22,206","22,159","22,078","21,961","21,767"
" Mercer County, Ohio","42,539","42,542","42,392","42,424","42,439"
" Miami County, Ohio","108,775","108,959","109,411","110,213","110,876"
" Monroe County, Ohio","13,383","13,350","13,331","13,215","13,153"
" Montgomery County, Ohio","537,306","537,119","536,155","533,474","533,796"
" Morgan County, Ohio","13,807","13,762","13,703","13,669","13,646"
" Morrow County, Ohio","34,945","34,980","35,205","35,336","35,595"
" Muskingum County, Ohio","86,421","86,468","86,577","86,114","86,305"
" Noble County, Ohio","14,110","14,090","14,309","14,325","14,311"
" Ottawa County, Ohio","40,362","40,296","40,166","39,968","39,803"
" Paulding County, Ohio","18,806","18,811","18,902","18,762","18,706"
" Perry County, Ohio","35,406","35,446","35,464","35,471","35,551"
" Pickaway County, Ohio","58,545","58,656","58,765","60,007","61,086"
" Pike County, Ohio","27,090","27,072","27,094","27,012","27,001"
" Portage County, Ohio","161,796","161,853","159,076","161,742","162,665"
" Preble County, Ohio","40,998","41,007","40,871","40,574","40,556"
" Putnam County, Ohio","34,435","34,385","34,341","34,330","34,199"
" Richland County, Ohio","124,927","124,966","125,341","125,261","125,064"
" Ross County, Ohio","77,078","77,049","76,500","76,508","76,501"
" Sandusky County, Ohio","58,886","58,856","58,741","58,567","58,709"
" Scioto County, Ohio","74,009","73,848","72,989","72,189","71,969"
" Seneca County, Ohio","55,076","55,054","54,864","54,534","54,527"
" Shelby County, Ohio","48,229","48,146","48,023","47,684","47,765"
" Stark County, Ohio","374,864","374,522","373,792","372,785","372,716"
" Summit County, Ohio","540,429","539,821","537,436","535,769","535,733"
" Trumbull County, Ohio","202,064","201,681","201,572","200,726","200,373"
" Tuscarawas County, Ohio","93,265","93,193","92,618","91,971","91,874"
" Union County, Ohio","62,783","63,085","65,106","66,876","69,637"
" Van Wert County, Ohio","28,931","28,916","28,784","28,804","28,704"
" Vinton County, Ohio","12,800","12,801","12,703","12,577","12,474"
" Warren County, Ohio","242,346","243,228","246,828","249,735","252,148"
" Washington County, Ohio","59,767","59,647","59,486","58,868","58,577"
" Wayne County, Ohio","116,900","116,923","116,175","116,552","116,510"
" Williams County, Ohio","37,104","37,078","36,763","36,648","36,591"
" Wood County, Ohio","132,247","132,256","130,310","131,642","132,650"
" Wyandot County, Ohio","21,896","21,864","21,689","21,552","21,457"
" Adair County, Oklahoma","19,497","19,456","19,442","19,516","19,627"
" Alfalfa County, Oklahoma","5,703","5,711","5,695","5,689","5,673"
" Atoka County, Oklahoma","14,145","14,165","14,294","14,327","14,525"
" Beaver County, Oklahoma","5,053","5,030","4,994","5,019","5,018"
" Beckham County, Oklahoma","22,408","22,334","22,032","21,976","22,042"
" Blaine County, Oklahoma","8,728","8,701","8,547","8,445","8,539"
" Bryan County, Oklahoma","46,071","46,330","47,126","48,038","48,967"
" Caddo County, Oklahoma","26,944","26,909","26,461","26,237","26,214"
" Canadian County, Oklahoma","154,151","155,434","161,999","169,254","175,829"
" Carter County, Oklahoma","48,006","48,042","48,254","48,336","48,596"
